ubigeo_gestor,archivo_rel,n_filas
150117,ZonasEscolares\excels\LIMA-LIMA-LOS_OLIVOS.xlsx,122
150118,ZonasEscolares\excels\LIMA-LIMA-LURIGANCHO.xlsx,92
150119,ZonasEscolares\excels\LIMA-LIMA-LURIN.xlsx,37
150120,ZonasEscolares\excels\LIMA-LIMA-MAGDALENA_DEL_MAR.xlsx,9
150121,ZonasEscolares\excels\LIMA-LIMA-PUEBLO_LIBRE.xlsx,13
150123,ZonasEscolares\excels\LIMA-LIMA-PACHACAMAC.xlsx,51
150125,ZonasEscolares\excels\LIMA-LIMA-PUENTE_PIEDRA.xlsx,109
150126,ZonasEscolares\excels\LIMA-LIMA-PUNTA_HERMOSA.xlsx,7
150128,ZonasEscolares\excels\LIMA-LIMA-RIMAC.xlsx,49
150130,ZonasEscolares\excels\LIMA-LIMA-SAN_BORJA.xlsx,17
150132,ZonasEscolares\excels\LIMA-LIMA-SAN_JUAN_DE_LURIGANCHO.xlsx,321
150133,ZonasEscolares\excels\LIMA-LIMA-SAN_JUAN_DE_MIRAFLORES.xlsx,99
150134,ZonasEscolares\excels\LIMA-LIMA-SAN_LUIS.xlsx,15
150135,ZonasEscolares\excels\LIMA-LIMA-SAN_MARTIN_DE_PORRES.xlsx,166
150136,ZonasEscolares\excels\LIMA-LIMA-SAN_MIGUEL.xlsx,21
150137,ZonasEscolares\excels\LIMA-LIMA-SANTA_ANITA.xlsx,50
150140,ZonasEscolares\excels\LIMA-LIMA-SANTIAGO_DE_SURCO.xlsx,55
150141,ZonasEscolares\excels\LIMA-LIMA-SURQUILLO.xlsx,17
150142,ZonasEscolares\excels\LIMA-LIMA-VILLA_EL_SALVADOR.xlsx,122
150143,ZonasEscolares\excels\LIMA-LIMA-VILLA_MARIA_DEL_TRIUNFO.xlsx,128
150201,ZonasEscolares\excels\LIMA-BARRANCA-BARRANCA.xlsx,37
150204,ZonasEscolares\excels\LIMA-BARRANCA-SUPE.xlsx,9
150501,ZonasEscolares\excels\LIMA-CAÑETE-SAN_VICENTE_DE_CAÑETE.xlsx,39
150509,ZonasEscolares\excels\LIMA-CAÑETE-MALA.xlsx,15
150601,ZonasEscolares\excels\LIMA-HUARAL-HUARAL.xlsx,43
150605,ZonasEscolares\excels\LIMA-HUARAL-CHANCAY.xlsx,20
150801,ZonasEscolares\excels\LIMA-HUAURA-HUACHO.xlsx,48
150805,ZonasEscolares\excels\LIMA-HUAURA-HUALMAY.xlsx,12
150810,ZonasEscolares\excels\LIMA-HUAURA-SANTA_MARIA.xlsx,7
150811,ZonasEscolares\excels\LIMA-HUAURA-SAYAN.xlsx,10
160101,ZonasEscolares\excels\LORETO-MAYNAS-IQUITOS.xlsx,69
160108,ZonasEscolares\excels\LORETO-MAYNAS-PUNCHANA.xlsx,19
160112,ZonasEscolares\excels\LORETO-MAYNAS-BELEN.xlsx,18
160113,ZonasEscolares\excels\LORETO-MAYNAS-SAN_JUAN_BAUTISTA.xlsx,58
160501,ZonasEscolares\excels\LORETO-REQUENA-REQUENA.xlsx,20
160601,ZonasEscolares\excels\LORETO-UCAYALI-CONTAMANA.xlsx,7
170101,ZonasEscolares\excels\MADRE_DE_DIOS-TAMBOPATA-TAMBOPATA.xlsx,40
180301,ZonasEscolares\excels\MOQUEGUA-ILO-ILO.xlsx,21
190301,ZonasEscolares\excels\PASCO-OXAPAMPA-OXAPAMPA.xlsx,26
200101,ZonasEscolares\excels\PIURA-PIURA-PIURA.xlsx,91
200104,ZonasEscolares\excels\PIURA-PIURA-CASTILLA.xlsx,58
200109,ZonasEscolares\excels\PIURA-PIURA-LA_ARENA.xlsx,11
200110,ZonasEscolares\excels\PIURA-PIURA-LA_UNION.xlsx,17
200115,ZonasEscolares\excels\PIURA-PIURA-VEINTISEIS_DE_OCTUBRE.xlsx,40
200201,ZonasEscolares\excels\PIURA-AYABACA-AYABACA.xlsx,27
200208,ZonasEscolares\excels\PIURA-AYABACA-SAPILLICA.xlsx,4
200301,ZonasEscolares\excels\PIURA-HUANCABAMBA-HUANCABAMBA.xlsx,29
200401,ZonasEscolares\excels\PIURA-MORROPON-CHULUCANAS.xlsx,35
200405,ZonasEscolares\excels\PIURA-MORROPON-MORROPON.xlsx,5
200601,ZonasEscolares\excels\PIURA-SULLANA-SULLANA.xlsx,74
200605,ZonasEscolares\excels\PIURA-SULLANA-MARCAVELICA.xlsx,7
200705,ZonasEscolares\excels\PIURA-TALARA-LOS_ORGANOS.xlsx,13
200801,ZonasEscolares\excels\PIURA-SECHURA-SECHURA.xlsx,27
200805,ZonasEscolares\excels\PIURA-SECHURA-VICE.xlsx,4
210101,ZonasEscolares\excels\PUNO-PUNO-PUNO.xlsx,48
210401,ZonasEscolares\excels\PUNO-CHUCUITO-JULI.xlsx,11
210501,ZonasEscolares\excels\PUNO-EL_COLLAO-ILAVE.xlsx,17
210601,ZonasEscolares\excels\PUNO-HUANCANE-HUANCANE.xlsx,6
211001,ZonasEscolares\excels\PUNO-SAN_ANTONIO_DE_PUTINA-PUTINA.xlsx,10
211002,ZonasEscolares\excels\PUNO-SAN_ANTONIO_DE_PUTINA-ANANEA.xlsx,4
211101,ZonasEscolares\excels\PUNO-SAN_ROMAN-JULIACA.xlsx,102
211105,ZonasEscolares\excels\PUNO-SAN_ROMAN-SAN_MIGUEL.xlsx,21
211201,ZonasEscolares\excels\PUNO-SANDIA-SANDIA.xlsx,4
211301,ZonasEscolares\excels\PUNO-YUNGUYO-YUNGUYO.xlsx,7
220803,ZonasEscolares\excels\SAN_MARTIN-RIOJA-ELIAS_SOPLIN_VARGAS.xlsx,8
220901,ZonasEscolares\excels\SAN_MARTIN-SAN_MARTIN-TARAPOTO.xlsx,43
220909,ZonasEscolares\excels\SAN_MARTIN-SAN_MARTIN-LA_BANDA_DE_SHILCAYO.xlsx,10
220910,ZonasEscolares\excels\SAN_MARTIN-SAN_MARTIN-MORALES.xlsx,7
230101,ZonasEscolares\excels\TACNA-TACNA-TACNA.xlsx,60
230102,ZonasEscolares\excels\TACNA-TACNA-ALTO_DE_LA_ALIANZA.xlsx,10
230110,ZonasEscolares\excels\TACNA-TACNA-CORONEL_GREGORIO_ALBARRACIN_LANCHIPA.xlsx,20
250101,ZonasEscolares\excels\UCAYALI-CORONEL_PORTILLO-CALLERIA.xlsx,60
250105,ZonasEscolares\excels\UCAYALI-CORONEL_PORTILLO-YARINACOCHA.xlsx,41
