ubigeo_gestor,archivo_rel,n_filas
130111,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-VICTOR_LARCO_HERRERA.xlsx,8
130112,Intersecciones\excels\LA_LIBERTAD-TRUJILLO-ALTO_TRUJILLO.xlsx,28
130206,Intersecciones\excels\LA_LIBERTAD-ASCOPE-RAZURI.xlsx,30
130207,Intersecciones\excels\LA_LIBERTAD-ASCOPE-SANTIAGO_DE_CAO.xlsx,19
130401,Intersecciones\excels\LA_LIBERTAD-CHEPEN-CHEPEN.xlsx,24
130402,Intersecciones\excels\LA_LIBERTAD-CHEPEN-PACANGA.xlsx,19
130403,Intersecciones\excels\LA_LIBERTAD-CHEPEN-PUEBLO_NUEVO.xlsx,22
130601,Intersecciones\excels\LA_LIBERTAD-OTUZCO-OTUZCO.xlsx,11
130701,Intersecciones\excels\LA_LIBERTAD-PACASMAYO-SAN_PEDRO_DE_LLOC.xlsx,35
130702,Intersecciones\excels\LA_LIBERTAD-PACASMAYO-GUADALUPE.xlsx,8
130704,Intersecciones\excels\LA_LIBERTAD-PACASMAYO-PACASMAYO.xlsx,13
130801,Intersecciones\excels\LA_LIBERTAD-PATAZ-TAYABAMBA.xlsx,14
130803,Intersecciones\excels\LA_LIBERTAD-PATAZ-CHILLIA.xlsx,26
130809,Intersecciones\excels\LA_LIBERTAD-PATAZ-PATAZ.xlsx,14
130901,Intersecciones\excels\LA_LIBERTAD-SANCHEZ_CARRION-HUAMACHUCO.xlsx,13
131201,Intersecciones\excels\LA_LIBERTAD-VIRU-VIRU.xlsx,10
131202,Intersecciones\excels\LA_LIBERTAD-VIRU-CHAO.xlsx,11
140101,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-CHICLAYO.xlsx,54
140105,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-JOSE_LEONARDO_ORTIZ.xlsx,8
140106,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-LA_VICTORIA.xlsx,7
140108,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-MONSEFU.xlsx,22
140112,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-PIMENTEL.xlsx,44
140113,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-REQUE.xlsx,26
140114,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-SANTA_ROSA.xlsx,26
140116,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-CAYALTI.xlsx,15
140118,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-POMALCA.xlsx,12
140120,Intersecciones\excels\LAMBAYEQUE-CHICLAYO-TUMAN.xlsx,23
140201,Intersecciones\excels\LAMBAYEQUE-FERREÑAFE-FERREÑAFE.xlsx,16
140206,Intersecciones\excels\LAMBAYEQUE-FERREÑAFE-PUEBLO_NUEVO.xlsx,24
140301,Intersecciones\excels\LAMBAYEQUE-LAMBAYEQUE-LAMBAYEQUE.xlsx,15
140307,Intersecciones\excels\LAMBAYEQUE-LAMBAYEQUE-MOTUPE.xlsx,24
140308,Intersecciones\excels\LAMBAYEQUE-LAMBAYEQUE-OLMOS.xlsx,8
150101,Intersecciones\excels\LIMA-LIMA-LIMA.xlsx,282
150103,Intersecciones\excels\LIMA-LIMA-ATE.xlsx,16
150104,Intersecciones\excels\LIMA-LIMA-BARRANCO.xlsx,8
150105,Intersecciones\excels\LIMA-LIMA-BREÑA.xlsx,7
150106,Intersecciones\excels\LIMA-LIMA-CARABAYLLO.xlsx,9
150107,Intersecciones\excels\LIMA-LIMA-CHACLACAYO.xlsx,8
150108,Intersecciones\excels\LIMA-LIMA-CHORRILLOS.xlsx,9
150109,Intersecciones\excels\LIMA-LIMA-CIENEGUILLA.xlsx,32
150110,Intersecciones\excels\LIMA-LIMA-COMAS.xlsx,15
150111,Intersecciones\excels\LIMA-LIMA-EL_AGUSTINO.xlsx,8
150112,Intersecciones\excels\LIMA-LIMA-INDEPENDENCIA.xlsx,9
150113,Intersecciones\excels\LIMA-LIMA-JESUS_MARIA.xlsx,18
150114,Intersecciones\excels\LIMA-LIMA-LA_MOLINA.xlsx,9
