ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-737222;130206;LA LIBERTAD;ASCOPE;RAZURI;-7.6790496;-79.3615651;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-737229;130206;LA LIBERTAD;ASCOPE;RAZURI;-7.6846027;-79.3806759;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-737228;130206;LA LIBERTAD;ASCOPE;RAZURI;-7.6866335;-79.3860054;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-205850;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2857079;-72.1115005;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205849;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2821071;-72.1081554;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205848;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2922183;-72.1119935;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205847;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2897613;-72.1128997;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205845;081301;CUSCO;URUBAMBA;URUBAMBA;-13.3024323;-72.129615;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205842;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2875587;-72.1374751;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205841;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2896507;-72.133951;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-205839;081301;CUSCO;URUBAMBA;URUBAMBA;-13.2849622;-72.1273798;Jirón Los Balcones / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737227;130206;LA LIBERTAD;ASCOPE;RAZURI;-7.6850028;-79.3535191;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-602090;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.6016667;-72.0379449;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602086;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.8066778;-72.0624569;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602085;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4613436;-72.0870897;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602084;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.6207021;-72.1225498;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602083;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.6217464;-72.1208405;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602082;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4714958;-72.078469;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602080;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4309756;-72.0564331;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602079;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4266025;-72.0637665;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602078;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4254497;-72.0660078;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602076;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4756056;-72.0747956;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602074;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.4686997;-72.0814276;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-602073;080701;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.7612643;-72.4076264;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737226;130206;LA LIBERTAD;ASCOPE;RAZURI;-7.6839216;-79.3542428;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-737289;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5834545;-79.3786964;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737291;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5848876;-79.3782941;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737293;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5848876;-79.382363;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737295;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5864668;-79.3797988;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-732522;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.4300602;-79.5084316;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737300;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5888384;-79.3792087;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737301;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5898806;-79.3792167;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737303;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5904735;-79.3805444;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737323;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5570609;-79.3884108;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-737324;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.5787139;-79.4099937;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-721201;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.3939924;-79.5067278;Calle s / n / Calle s / n;LOCAL;DISTRITAL;PROVINCIAL;0
I-626223;210806;PUNO;MELGAR;NUÑOA;-14.35376;-70.9459117;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-609248;120302;JUNIN;CHANCHAMAYO;PERENE;-11.0140599;-75.1817702;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-617526;080902;CUSCO;LA CONVENCION;ECHARATE;-12.4885291;-72.9985545;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-566682;060417;CAJAMARCA;CHOTA;TACABAMBA;-6.3943364;-78.6651462;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-320945;060417;CAJAMARCA;CHOTA;TACABAMBA;-6.431556;-78.6373682;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-352953;080906;CUSCO;LA CONVENCION;QUELLOUNO;-12.4347303;-72.3977949;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-609203;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9950773;-75.1164168;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-609200;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9942182;-75.1178209;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-352961;080906;CUSCO;LA CONVENCION;QUELLOUNO;-12.4506322;-72.341677;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-609199;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9879469;-75.1245654;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-609198;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9958283;-75.1303764;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-609197;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9885272;-75.1186346;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-609196;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9904536;-75.1206386;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-609195;120302;JUNIN;CHANCHAMAYO;PERENE;-10.9930655;-75.1186685;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-352955;080906;CUSCO;LA CONVENCION;QUELLOUNO;-12.4443919;-72.3521655;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-726166;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8264884;-79.9205864;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-729857;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.821721;-79.9042478;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-729859;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8232222;-79.9056645;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-352957;080906;CUSCO;LA CONVENCION;QUELLOUNO;-12.4400949;-72.3677891;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-729872;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.820651;-79.9044497;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-731812;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8112838;-79.9320946;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-731814;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8099652;-79.9318731;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-729856;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8228555;-79.926046;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
